Team 1,Team 2,Odds 1,Game,Source 1,Odds 2,Source 2,Arbitrage %,Implied Probability
DRX,RGE,1.5,DRX vs RGE,Ladbrokes,2.4,Ladbrokes,-7.692307692307708,1.0833333333333333
EG,G2,2.55,EG vs G2,Ladbrokes,1.46,Ladbrokes,-7.157107231920193,1.0770883695944131
FNC,T1,4.5,FNC vs T1,Ladbrokes,1.17,Ladbrokes,-7.142857142857139,1.076923076923077
C9,EDG,3.7,C9 vs EDG,Ladbrokes,1.24,Ladbrokes,-7.125506072874501,1.0767218831734962
GAM,TES,6.0,GAM vs TES,Ladbrokes,1.1,Ladbrokes,-7.042253521126753,1.0757575757575757
DK,JDG,2.3,DK vs JDG,Ladbrokes,1.55,Ladbrokes,-7.402597402597394,1.0799438990182328
GAM,RGE,2.5,GAM vs RGE,Ladbrokes,1.48,Ladbrokes,-7.035175879396988,1.0756756756756758
100,GEN,6.8,100 vs GEN,Ladbrokes,1.08,Ladbrokes,-6.8020304568527905,1.0729847494553375
EDG,FNC,1.17,EDG vs FNC,Ladbrokes,4.5,Ladbrokes,-7.142857142857139,1.076923076923077
C9,T1,3.7,C9 vs T1,Ladbrokes,1.24,Ladbrokes,-7.125506072874501,1.0767218831734962
CFO,RNG,5.2,CFO vs RNG,Ladbrokes,1.13,Ladbrokes,-7.172195892575061,1.0772634445200817
DRX,TES,2.65,DRX vs TES,Ladbrokes,1.42,Ladbrokes,-7.54299754299754,1.0815838426787139
G2,JDG,3.7,G2 vs JDG,Ladbrokes,1.24,Ladbrokes,-7.125506072874501,1.0767218831734962
RGE,TES,3.7,RGE vs TES,Ladbrokes,1.24,Ladbrokes,-7.125506072874501,1.0767218831734962
DK,EG,1.24,DK vs EG,Ladbrokes,3.7,Ladbrokes,-7.125506072874501,1.0767218831734962
100,RNG,3.7,100 vs RNG,Ladbrokes,1.24,Ladbrokes,-7.125506072874501,1.0767218831734962
CFO,GEN,8.25,CFO vs GEN,Ladbrokes,1.05,Ladbrokes,-6.8548387096774235,1.0735930735930737
DRX,GAM,1.3,DRX vs GAM,Ladbrokes,3.25,Ladbrokes,-7.142857142857125,1.0769230769230769
DRX,RGE,1.5,DRX vs RGE,Ladbrokes,2.4,Neds,-7.692307692307708,1.0833333333333333
EG,G2,2.55,EG vs G2,Ladbrokes,1.46,Neds,-7.157107231920193,1.0770883695944131
FNC,T1,4.5,FNC vs T1,Ladbrokes,1.17,Neds,-7.142857142857139,1.076923076923077
C9,EDG,3.7,C9 vs EDG,Ladbrokes,1.24,Neds,-7.125506072874501,1.0767218831734962
GAM,TES,6.0,GAM vs TES,Ladbrokes,1.1,Neds,-7.042253521126753,1.0757575757575757
DK,JDG,2.3,DK vs JDG,Ladbrokes,1.55,Neds,-7.402597402597394,1.0799438990182328
GAM,RGE,2.5,GAM vs RGE,Ladbrokes,1.48,Neds,-7.035175879396988,1.0756756756756758
100,GEN,6.8,100 vs GEN,Ladbrokes,1.08,Neds,-6.8020304568527905,1.0729847494553375
